Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,24-Nov-23,CUST001,Male,34,Beauty,3,50,150
2,27-Feb-23,CUST002,Female,26,Clothing,2,500,1000
3,13-Jan-23,CUST003,Male,50,Electronics,1,30,30
4,21-May-23,CUST004,Male,37,Clothing,1,500,500
5,06-May-23,CUST005,Male,30,Beauty,2,50,100
6,25-Apr-23,CUST006,Female,45,Beauty,1,30,30
7,13-Mar-23,CUST007,Male,46,Clothing,2,25,50
8,22-Feb-23,CUST008,Male,30,Electronics,4,25,100
9,13-Dec-23,CUST009,Male,63,Electronics,2,300,600
10,07-Oct-23,CUST010,Female,52,Clothing,4,50,200
11,14-Feb-23,CUST011,Male,23,Clothing,2,50,100
12,30-Oct-23,CUST012,Male,35,Beauty,3,25,75
13,05-Aug-23,CUST013,Male,22,Electronics,3,500,1500
14,17-Jan-23,CUST014,Male,64,Clothing,4,30,120
15,16-Jan-23,CUST015,Female,42,Electronics,4,500,2000
16,17-Feb-23,CUST016,Male,19,Clothing,3,500,1500
17,22-Apr-23,CUST017,Female,27,Clothing,4,25,100
18,30-Apr-23,CUST018,Female,47,Electronics,2,25,50
19,16-Sep-23,CUST019,Female,62,Clothing,2,25,50
20,05-Nov-23,CUST020,Male,22,Clothing,3,300,900
21,14-Jan-23,CUST021,Female,50,Beauty,1,500,500
22,15-Oct-23,CUST022,Male,18,Clothing,2,50,100
23,12-Apr-23,CUST023,Female,35,Clothing,4,30,120
24,29-Nov-23,CUST024,Female,49,Clothing,1,300,300
25,26-Dec-23,CUST025,Female,64,Beauty,1,50,50
26,07-Oct-23,CUST026,Female,28,Electronics,2,500,1000
27,03-Aug-23,CUST027,Female,38,Beauty,2,25,50
28,23-Apr-23,CUST028,Female,43,Beauty,1,500,500
29,18-Aug-23,CUST029,Female,42,Electronics,1,30,30
30,29-Oct-23,CUST030,Female,39,Beauty,3,300,900
31,23-May-23,CUST031,Male,44,Electronics,4,300,1200
32,04-Jan-23,CUST032,Male,30,Beauty,3,30,90
33,23-Mar-23,CUST033,Female,50,Electronics,2,50,100
34,24-Dec-23,CUST034,Female,51,Clothing,3,50,150
35,05-Aug-23,CUST035,Female,58,Beauty,3,300,900
36,24-Jun-23,CUST036,Male,52,Beauty,3,300,900
37,23-May-23,CUST037,Female,18,Beauty,3,25,75
38,21-Mar-23,CUST038,Male,38,Beauty,4,50,200
39,21-Apr-23,CUST039,Male,23,Clothing,4,30,120
40,22-Jun-23,CUST040,Male,45,Beauty,1,50,50
41,22-Feb-23,CUST041,Male,34,Clothing,2,25,50
42,17-Feb-23,CUST042,Male,22,Clothing,3,300,900
43,14-Jul-23,CUST043,Female,48,Clothing,1,300,300
44,19-Feb-23,CUST044,Female,22,Clothing,1,25,25
45,03-Jul-23,CUST045,Female,55,Electronics,1,30,30
46,26-Jun-23,CUST046,Female,20,Electronics,4,300,1200
47,06-Nov-23,CUST047,Female,40,Beauty,3,500,1500
48,16-May-23,CUST048,Male,54,Electronics,3,300,900
49,23-Jan-23,CUST049,Female,54,Electronics,2,500,1000
50,24-Aug-23,CUST050,Female,27,Beauty,3,25,75
51,02-Oct-23,CUST051,Male,27,Beauty,3,25,75
52,05-Mar-23,CUST052,Female,36,Beauty,1,300,300
53,13-Jul-23,CUST053,Male,34,Electronics,2,50,100
54,10-Feb-23,CUST054,Female,38,Electronics,3,500,1500
55,10-Oct-23,CUST055,Male,31,Beauty,4,30,120
56,31-May-23,CUST056,Female,26,Clothing,3,300,900
57,18-Nov-23,CUST057,Female,63,Beauty,1,30,30
58,13-Nov-23,CUST058,Male,18,Clothing,4,300,1200
59,05-Jul-23,CUST059,Male,62,Clothing,1,50,50
60,23-Oct-23,CUST060,Male,30,Beauty,3,50,150
61,09-Apr-23,CUST061,Male,21,Beauty,4,50,200
62,27-Dec-23,CUST062,Male,18,Beauty,2,50,100
63,05-Feb-23,CUST063,Male,57,Electronics,2,25,50
64,24-Jan-23,CUST064,Male,49,Clothing,4,25,100
65,05-Dec-23,CUST065,Male,51,Electronics,4,500,2000
66,27-Apr-23,CUST066,Female,45,Electronics,1,30,30
67,29-May-23,CUST067,Female,48,Beauty,4,300,1200
68,10-Feb-23,CUST068,Male,25,Electronics,1,300,300
69,30-Apr-23,CUST069,Female,56,Beauty,3,25,75
70,21-Feb-23,CUST070,Female,43,Clothing,1,300,300
71,14-Jul-23,CUST071,Female,51,Beauty,4,25,100
72,23-May-23,CUST072,Female,20,Electronics,4,500,2000
73,21-Aug-23,CUST073,Male,29,Electronics,3,30,90
74,22-Nov-23,CUST074,Female,18,Beauty,4,500,2000
75,06-Jul-23,CUST075,Male,61,Beauty,4,50,200
76,25-Mar-23,CUST076,Female,22,Electronics,2,50,100
77,09-Jul-23,CUST077,Female,47,Clothing,2,50,100
78,01-Jul-23,CUST078,Female,47,Clothing,3,500,1500
79,18-Apr-23,CUST079,Male,34,Beauty,1,300,300
80,10-Dec-23,CUST080,Female,64,Clothing,2,30,60
81,17-May-23,CUST081,Male,40,Electronics,1,50,50
82,26-Dec-23,CUST082,Female,32,Beauty,4,50,200
83,16-Dec-23,CUST083,Male,54,Electronics,2,50,100
84,28-Nov-23,CUST084,Female,38,Electronics,3,30,90
85,06-Feb-23,CUST085,Male,31,Clothing,3,50,150
86,08-Nov-23,CUST086,Male,19,Beauty,3,30,90
87,22-Nov-23,CUST087,Female,28,Beauty,2,50,100
88,29-Mar-23,CUST088,Male,56,Clothing,1,500,500
89,01-Oct-23,CUST089,Female,55,Electronics,4,500,2000
90,06-May-23,CUST090,Female,51,Electronics,1,30,30
91,25-Mar-23,CUST091,Female,55,Electronics,1,500,500
92,25-Aug-23,CUST092,Female,51,Electronics,4,30,120
93,14-Jul-23,CUST093,Female,35,Beauty,4,500,2000
94,19-May-23,CUST094,Female,47,Beauty,2,500,1000
95,24-Nov-23,CUST095,Female,32,Clothing,2,30,60
96,19-Dec-23,CUST096,Female,44,Clothing,2,300,600
97,13-Oct-23,CUST097,Female,51,Beauty,2,500,1000
98,23-Apr-23,CUST098,Female,55,Beauty,2,50,100
99,17-Dec-23,CUST099,Female,50,Electronics,4,300,1200
100,16-Jun-23,CUST100,Male,41,Electronics,1,30,30
101,29-Jan-23,CUST101,Male,32,Clothing,2,300,600
102,28-Apr-23,CUST102,Female,47,Beauty,2,25,50
103,17-Jan-23,CUST103,Female,59,Clothing,1,25,25
104,11-Jun-23,CUST104,Female,34,Beauty,2,500,1000
105,25-Jul-23,CUST105,Female,22,Electronics,1,500,500
106,18-May-23,CUST106,Female,46,Clothing,1,50,50
107,03-Feb-23,CUST107,Female,21,Clothing,4,300,1200
108,19-Apr-23,CUST108,Female,27,Beauty,3,25,75
109,18-Oct-23,CUST109,Female,34,Electronics,4,500,2000
110,11-Jun-23,CUST110,Male,27,Clothing,3,300,900
111,19-Apr-23,CUST111,Female,34,Electronics,3,500,1500
112,02-Dec-23,CUST112,Male,37,Clothing,3,500,1500
113,13-Sep-23,CUST113,Female,41,Electronics,2,25,50
114,22-Jul-23,CUST114,Female,22,Beauty,4,25,100
115,26-Nov-23,CUST115,Male,51,Clothing,3,500,1500
116,23-Aug-23,CUST116,Female,23,Clothing,1,30,30
117,15-Mar-23,CUST117,Male,19,Electronics,2,500,1000
118,16-May-23,CUST118,Female,30,Electronics,4,500,2000
119,13-Mar-23,CUST119,Female,60,Clothing,3,50,150
120,07-May-23,CUST120,Male,60,Beauty,1,50,50
121,15-Oct-23,CUST121,Female,28,Electronics,4,50,200
122,03-Oct-23,CUST122,Male,64,Electronics,4,30,120
123,15-May-23,CUST123,Female,40,Electronics,2,30,60
124,27-Oct-23,CUST124,Male,33,Clothing,4,500,2000
125,08-Aug-23,CUST125,Male,48,Clothing,2,50,100
126,26-Oct-23,CUST126,Female,28,Clothing,3,30,90
127,24-Jul-23,CUST127,Female,33,Clothing,2,25,50
128,05-Jul-23,CUST128,Male,25,Beauty,1,500,500
